run_date,weekday,month,week_number,total_test_hours,pred_window_start,predicted_window_hours,actual_window_start,actual_window_hours,matching_hours,accuracy_percentage,performance_category,pred_total_cost,actual_total_cost
2025-04-05,Saturday,4,14,144,129,"129,130,131,132",10,"10,11,12,13",0,0.0,Very Poor,-0.07,-0.35
2025-04-06,Sunday,4,14,144,106,"106,107,108,109",130,"130,131,132,133",0,0.0,Very Poor,-0.07,-0.17
2025-04-07,Monday,4,15,144,106,"106,107,108,109",106,"106,107,108,109",4,100.0,Excellent,-0.13,-0.17
2025-04-08,Tuesday,4,15,144,130,"130,131,132,133",82,"82,83,84,85",0,0.0,Very Poor,-0.27,-0.17
2025-04-09,Wednesday,4,15,144,58,"58,59,60,61",58,"58,59,60,61",4,100.0,Excellent,-0.23,-0.17
2025-04-10,Thursday,4,15,144,34,"34,35,36,37",34,"34,35,36,37",4,100.0,Excellent,-0.13,-0.17
2025-04-11,Friday,4,15,144,10,"10,11,12,13",10,"10,11,12,13",4,100.0,Excellent,-0.16,-0.17
2025-04-12,Saturday,4,15,144,130,"130,131,132,133",10,"10,11,12,13",0,0.0,Very Poor,0.01,-0.06
2025-04-13,Sunday,4,15,144,130,"130,131,132,133",130,"130,131,132,133",4,100.0,Excellent,0.03,-0.02
2025-04-14,Monday,4,16,144,106,"106,107,108,109",129,"129,130,131,132",0,0.0,Very Poor,-0.14,-0.12
2025-04-15,Tuesday,4,16,144,106,"106,107,108,109",105,"105,106,107,108",3,75.0,Good,-0.05,-0.12
2025-04-16,Wednesday,4,16,144,57,"57,58,59,60",81,"81,82,83,84",0,0.0,Very Poor,-0.15,-0.12
2025-04-17,Thursday,4,16,144,33,"33,34,35,36",57,"57,58,59,60",0,0.0,Very Poor,-0.14,-0.12
2025-04-18,Friday,4,16,144,10,"10,11,12,13",33,"33,34,35,36",0,0.0,Very Poor,-0.17,-0.12
2025-04-19,Saturday,4,16,144,9,"9,10,11,12",9,"9,10,11,12",4,100.0,Excellent,-0.01,-0.12
2025-04-20,Sunday,4,16,144,128,"128,129,130,131",130,"130,131,132,133",2,50.0,Moderate,0.03,-0.06
2025-04-21,Monday,4,17,144,105,"105,106,107,108",129,"129,130,131,132",0,0.0,Very Poor,-0.1,-0.54
2025-04-22,Tuesday,4,17,144,105,"105,106,107,108",105,"105,106,107,108",4,100.0,Excellent,-0.14,-0.54
2025-04-23,Wednesday,4,17,144,82,"82,83,84,85",81,"81,82,83,84",3,75.0,Good,-0.12,-0.54
2025-04-24,Thursday,4,17,144,58,"58,59,60,61",57,"57,58,59,60",3,75.0,Good,-0.13,-0.54
2025-04-25,Friday,4,17,144,34,"34,35,36,37",33,"33,34,35,36",3,75.0,Good,-0.1,-0.54
2025-04-26,Saturday,4,17,144,9,"9,10,11,12",9,"9,10,11,12",4,100.0,Excellent,-0.13,-0.54
2025-04-27,Sunday,4,17,144,129,"129,130,131,132",82,"82,83,84,85",0,0.0,Very Poor,-0.02,-0.42
2025-04-28,Monday,4,18,144,105,"105,106,107,108",58,"58,59,60,61",0,0.0,Very Poor,-0.09,-0.42
2025-04-29,Tuesday,4,18,144,82,"82,83,84,85",34,"34,35,36,37",0,0.0,Very Poor,-0.32,-0.42
2025-04-30,Wednesday,4,18,144,57,"57,58,59,60",10,"10,11,12,13",0,0.0,Very Poor,-0.24,-0.42
2025-05-01,Thursday,5,18,144,33,"33,34,35,36",58,"58,59,60,61",0,0.0,Very Poor,-0.2,-0.01
2025-05-02,Friday,5,18,144,9,"9,10,11,12",34,"34,35,36,37",0,0.0,Very Poor,-0.4,-0.01
2025-05-03,Saturday,5,18,144,106,"106,107,108,109",10,"10,11,12,13",0,0.0,Very Poor,-0.0,-0.01
2025-05-04,Sunday,5,18,144,128,"128,129,130,131",130,"130,131,132,133",2,50.0,Moderate,-0.12,-0.36
2025-05-05,Monday,5,19,144,106,"106,107,108,109",130,"130,131,132,133",0,0.0,Very Poor,-0.25,-1.08
2025-05-06,Tuesday,5,19,144,106,"106,107,108,109",106,"106,107,108,109",4,100.0,Excellent,-0.32,-1.08
2025-05-07,Wednesday,5,19,144,82,"82,83,84,85",82,"82,83,84,85",4,100.0,Excellent,-0.4,-1.08
2025-05-08,Thursday,5,19,144,58,"58,59,60,61",58,"58,59,60,61",4,100.0,Excellent,-0.36,-1.08
2025-05-09,Friday,5,19,144,34,"34,35,36,37",34,"34,35,36,37",4,100.0,Excellent,-0.38,-1.08
2025-05-10,Saturday,5,19,144,9,"9,10,11,12",10,"10,11,12,13",3,75.0,Good,-0.39,-1.08
2025-05-11,Sunday,5,19,144,129,"129,130,131,132",10,"10,11,12,13",0,0.0,Very Poor,-0.02,-0.16
2025-05-12,Monday,5,20,144,128,"128,129,130,131",34,"34,35,36,37",0,0.0,Very Poor,-0.03,-0.13
2025-05-13,Tuesday,5,20,144,10,"10,11,12,13",10,"10,11,12,13",4,100.0,Excellent,-0.21,-0.13
2025-05-14,Wednesday,5,20,144,10,"10,11,12,13",10,"10,11,12,13",4,100.0,Excellent,-0.47,-0.09
2025-05-15,Thursday,5,20,144,10,"10,11,12,13",10,"10,11,12,13",4,100.0,Excellent,-0.35,-0.05
2025-05-16,Friday,5,20,144,10,"10,11,12,13",130,"130,131,132,133",0,0.0,Very Poor,-0.71,-0.05
2025-05-17,Saturday,5,20,143,34,"34,35,36,37",106,"106,107,108,109",0,0.0,Very Poor,-0.09,-0.05
2025-05-18,Sunday,5,20,119,34,"34,35,36,37",82,"82,83,84,85",0,0.0,Very Poor,-0.12,-0.05
2025-05-19,Monday,5,21,95,10,"10,11,12,13",58,"58,59,60,61",0,0.0,Very Poor,-0.11,-0.05
2025-05-20,Tuesday,5,21,71,10,"10,11,12,13",34,"34,35,36,37",0,0.0,Very Poor,0.06,-0.05
2025-05-21,Wednesday,5,21,47,33,"33,34,35,36",10,"10,11,12,13",0,0.0,Very Poor,0.08,-0.05
2025-05-22,Thursday,5,21,23,11,"11,12,13,14",10,"10,11,12,13",3,75.0,Good,0.2,0.01
